,Total Amount Funded,Monthly PAYMENT,Home Ownership,Monthly Income,Approx. Fico Score,Total CREDIT Lines,Revolving CREDIT Balance,Revolving Line Utilization,Inquiries in the Last 6 Months,Last Delinquency,Last Record,EmployedCat,Status
36,1000,24.16,RENT,500.0,669.0,17.0,3405.0,35.5,0.0,NEVER,NEVER,5_TO_9_YRS,Delinquent
37,1200,24.27,RENT,2000.0,790.0,24.0,1204.0,2.7,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
38,1000,24.32,RENT,2750.0,695.0,20.0,12561.0,89.0,1.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
39,1000,24.73,RENT,1083.33,669.0,5.0,546.0,54.6,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
40,1000,24.73,RENT,400.0,695.0,15.0,1685.0,80.4,1.0,NEVER,NEVER,PRES_NOT_EMPLOYED,Not Delinquent
41,800,24.84,MORTGAGE,2916.67,770.0,15.0,19901.0,29.8,0.0,JUST NOW,JUST NOW,0_TO_4_YRS,Not Delinquent
42,1000,24.96,RENT,2166.67,695.0,13.0,3438.0,98.2,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
43,700,24.99,RENT,1733.33,669.0,25.0,1878.0,22.6,3.0,JUST NOW,JUST NOW,0_TO_4_YRS,Not Delinquent
44,750,25.02,RENT,1583.33,695.0,8.0,12220.0,84.9,0.0,JUST NOW,JUST NOW,0_TO_4_YRS,Not Delinquent
46,1200,25.28,MORTGAGE,11666.67,732.0,25.0,2523.0,24.5,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
47,1100,25.44,RENT,400.0,732.0,5.0,36.0,3.6,4.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
48,800,25.8,RENT,500.0,695.0,5.0,0.0,0.0,1.0,JUST NOW,JUST NOW,0_TO_4_YRS,Not Delinquent
49,1100,26.51,RENT,2917.0,695.0,11.0,883.0,73.6,0.0,LAST FIVE,NEVER,10_YRS_PLUS,Not Delinquent
50,1200,26.84,MORTGAGE,4326.0,695.0,17.0,14133.0,78.5,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
51,1200,27.07,RENT,3794.17,695.0,18.0,2134.0,71.1,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
53,1400,27.67,RENT,2666.67,732.0,10.0,340.0,4.9,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
54,1200,27.68,OWN,1200.0,695.0,14.0,289.0,57.8,1.0,LAST FIVE,NEVER,PRES_NOT_EMPLOYED,Not Delinquent
55,1000,27.82,OWN,400.0,669.0,6.0,0.0,0.0,0.0,LAST YEAR,NEVER,PRES_NOT_EMPLOYED,Not Delinquent
57,900,28.47,OWN,4750.0,732.0,4.0,167.0,3.3,2.0,JUST NOW,JUST NOW,0_TO_4_YRS,Not Delinquent
58,1200,28.5,RENT,3083.33,669.0,14.0,5500.0,61.1,1.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
60,1200,28.92,MORTGAGE,2000.0,695.0,4.0,0.0,0.0,0.0,LAST FIVE,NEVER,5_TO_9_YRS,Not Delinquent
61,850,29.08,RENT,2333.33,650.0,15.0,14479.0,78.3,2.0,LAST FIVE,JUST NOW,0_TO_4_YRS,Not Delinquent
62,900,29.16,RENT,1000.0,695.0,4.0,3084.0,65.6,3.0,JUST NOW,JUST NOW,0_TO_4_YRS,Delinquent
63,1200,29.44,RENT,2721.0,695.0,15.0,885.0,88.5,1.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
64,1200,29.47,RENT,7250.0,695.0,16.0,3565.0,99.0,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
66,1000,30.16,OWN,4176.0,790.0,14.0,4461.0,18.6,0.0,NEVER,NEVER,PRES_NOT_EMPLOYED,Not Delinquent
67,1000,30.16,RENT,4200.0,790.0,14.0,1440.0,7.1,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
68,1000,30.16,MORTGAGE,6700.0,770.0,18.0,32413.0,65.0,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
69,1000,30.16,MORTGAGE,11300.0,770.0,27.0,0.0,0.0,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
70,1000,30.16,RENT,3666.67,770.0,27.0,3121.0,23.1,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
71,1000,30.16,MORTGAGE,2400.0,790.0,29.0,3134.0,5.8,0.0,NEVER,NEVER,PRES_NOT_EMPLOYED,Not Delinquent
72,1000,30.16,MORTGAGE,5200.0,732.0,44.0,22010.0,25.4,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
73,900,30.29,RENT,1063.33,732.0,5.0,3584.0,50.6,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
74,1000,30.33,MORTGAGE,3200.0,770.0,10.0,5444.0,19.8,0.0,LAST FIVE,NEVER,PRES_NOT_EMPLOYED,Not Delinquent
75,1000,30.33,RENT,2500.0,770.0,12.0,1178.0,3.6,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
76,1000,30.42,MORTGAGE,9583.33,732.0,35.0,4018.0,53.6,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
77,1400,30.44,MORTGAGE,2000.0,790.0,19.0,11040.0,29.7,4.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
78,1000,30.44,RENT,3333.33,770.0,34.0,15217.0,39.0,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
80,1000,30.44,MORTGAGE,5833.33,770.0,27.0,2777.0,5.7,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
81,1000,30.5,MORTGAGE,7500.0,732.0,25.0,11020.0,28.8,1.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
82,1400,30.53,RENT,2700.0,732.0,14.0,236.0,15.7,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
83,1400,30.53,MORTGAGE,2520.0,732.0,16.0,127.0,2.5,1.0,NEVER,NEVER,0_TO_4_YRS,Delinquent
84,950,30.55,RENT,1916.67,732.0,17.0,2246.0,9.9,1.0,JUST NOW,JUST NOW,0_TO_4_YRS,Not Delinquent
85,1000,30.6,MORTGAGE,5907.08,770.0,27.0,5950.0,15.8,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
86,1000,30.67,MORTGAGE,5833.33,770.0,14.0,1893.0,49.8,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
87,1000,30.71,MORTGAGE,2500.0,732.0,13.0,532.0,26.6,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
88,1000,30.71,MORTGAGE,2800.0,790.0,16.0,967.0,4.4,1.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
89,1000,30.71,MORTGAGE,2219.0,732.0,19.0,12330.0,17.0,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
91,1500,30.77,MORTGAGE,5442.0,770.0,19.0,7585.0,70.2,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
92,1000,30.77,OWN,3333.33,770.0,19.0,4407.0,57.2,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
93,1000,30.77,MORTGAGE,1708.33,770.0,27.0,4356.0,34.3,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
95,1000,30.77,RENT,3333.33,732.0,14.0,2163.0,7.9,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
96,1000,30.77,OWN,3575.0,790.0,25.0,1611.0,1.0,1.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
98,1000,30.84,RENT,3400.0,770.0,10.0,271.0,30.1,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
99,1000,30.84,RENT,2500.0,732.0,12.0,4963.0,41.7,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
100,1000,30.88,OWN,3416.67,732.0,12.0,0.0,0.0,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
101,1000,30.88,MORTGAGE,4333.33,732.0,7.0,9525.0,23.1,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
102,1000,30.88,OWN,3250.0,732.0,26.0,11064.0,59.8,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
104,1000,30.94,RENT,4250.0,770.0,8.0,737.0,7.8,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
105,1000,30.94,MORTGAGE,10000.0,790.0,37.0,2227.0,3.8,1.0,JUST NOW,JUST NOW,0_TO_4_YRS,Not Delinquent
107,1000,31.01,RENT,1833.33,732.0,3.0,565.0,37.7,0.0,NEVER,NEVER,PRES_NOT_EMPLOYED,Not Delinquent
108,1000,31.01,RENT,1416.67,770.0,4.0,2082.0,11.1,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
109,1000,31.01,RENT,2750.0,732.0,17.0,813.0,81.3,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
110,1000,31.01,OWN,2770.0,732.0,18.0,15255.0,86.2,2.0,NEVER,NEVER,PRES_NOT_EMPLOYED,Delinquent
111,1000,31.01,RENT,5750.0,732.0,29.0,5905.0,34.7,1.0,NEVER,LAST TEN,0_TO_4_YRS,Not Delinquent
112,1000,31.01,OWN,1300.0,732.0,17.0,2060.0,54.2,2.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
113,1000,31.01,RENT,4000.0,695.0,33.0,3610.0,27.1,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
114,1000,31.01,RENT,2416.67,732.0,22.0,5373.0,18.7,1.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
115,1000,31.05,OWN,3333.33,770.0,19.0,4055.0,46.6,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
116,1000,31.05,RENT,2833.33,790.0,16.0,102.0,0.3,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
117,1000,31.05,OWN,6447.25,790.0,27.0,2440.0,8.6,0.0,LAST FIVE,NEVER,10_YRS_PLUS,Not Delinquent
118,1000,31.06,MORTGAGE,2500.0,770.0,23.0,11108.0,46.5,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
119,1000,31.06,RENT,3750.0,770.0,12.0,511.0,3.1,2.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
120,1000,31.06,MORTGAGE,5750.0,770.0,30.0,8542.0,14.8,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
121,1000,31.06,OWN,2583.33,790.0,27.0,753.0,2.4,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
122,1000,31.06,MORTGAGE,3750.0,770.0,29.0,2387.0,6.9,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
123,1000,31.06,MORTGAGE,5625.0,790.0,39.0,35.0,0.1,1.0,LAST TEN,NEVER,0_TO_4_YRS,Not Delinquent
124,1000,31.06,MORTGAGE,8916.67,770.0,35.0,4938.0,1.9,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
125,1000,31.11,RENT,3750.0,790.0,6.0,29.0,0.1,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
127,1000,31.11,RENT,2442.58,732.0,18.0,223.0,44.6,0.0,LAST FIVE,NEVER,PRES_NOT_EMPLOYED,Not Delinquent
128,1000,31.11,RENT,1750.0,732.0,8.0,1824.0,30.9,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
129,1000,31.11,MORTGAGE,3250.0,732.0,41.0,3452.0,14.1,0.0,LAST TEN,NEVER,10_YRS_PLUS,Not Delinquent
130,1000,31.11,RENT,3333.0,732.0,12.0,4981.0,87.4,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
131,1000,31.11,RENT,2500.0,732.0,17.0,9271.0,46.4,0.0,NEVER,NEVER,PRES_NOT_EMPLOYED,Not Delinquent
132,1000,31.11,MORTGAGE,2083.33,732.0,19.0,2630.0,14.9,3.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
133,1000,31.12,RENT,2500.0,790.0,5.0,504.0,18.0,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
134,1000,31.12,MORTGAGE,3000.0,732.0,18.0,0.0,0.0,3.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
135,1000,31.12,RENT,2333.33,732.0,7.0,421.0,6.3,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
136,1000,31.12,RENT,3583.33,732.0,18.0,12593.0,72.0,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
137,1000,31.12,MORTGAGE,7000.0,732.0,23.0,21839.0,56.7,1.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
138,1000,31.12,RENT,4000.0,732.0,17.0,334.0,7.1,0.0,LAST TEN,LAST TEN,10_YRS_PLUS,Not Delinquent
139,1000,31.12,MORTGAGE,3567.17,732.0,21.0,14006.0,51.5,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
140,1000,31.18,RENT,5416.67,732.0,16.0,7118.0,49.4,1.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
141,1000,31.18,RENT,4083.33,695.0,26.0,10178.0,67.4,0.0,LAST TEN,NEVER,0_TO_4_YRS,Not Delinquent
142,1000,31.19,RENT,3000.0,732.0,16.0,4782.0,16.7,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
143,1000,31.19,MORTGAGE,6000.0,770.0,34.0,28938.0,23.4,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
144,1000,31.2,ANY,7083.33,770.0,19.0,7603.0,20.7,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
145,1000,31.2,MORTGAGE,7583.33,770.0,22.0,21003.0,45.5,2.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
147,1000,31.22,RENT,2416.67,732.0,16.0,3292.0,42.8,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
148,1000,31.22,MORTGAGE,8166.67,770.0,9.0,1641.0,4.0,1.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
149,1450,31.24,OWN,2000.0,732.0,11.0,2096.0,41.9,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
150,1000,31.29,RENT,1000.0,732.0,10.0,1761.0,24.5,2.0,NEVER,NEVER,PRES_NOT_EMPLOYED,Not Delinquent
151,1000,31.29,RENT,6000.0,732.0,25.0,23572.0,66.6,1.0,LAST TEN,NEVER,0_TO_4_YRS,Not Delinquent
152,1000,31.29,RENT,3166.67,732.0,24.0,692.0,3.5,1.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
153,1000,31.3,RENT,2383.33,732.0,15.0,3573.0,34.0,0.0,LAST FIVE,NEVER,10_YRS_PLUS,Not Delinquent
154,1000,31.3,RENT,3333.33,732.0,13.0,5824.0,31.5,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
155,1000,31.3,RENT,2916.67,732.0,12.0,14900.0,49.7,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
156,1000,31.3,MORTGAGE,7083.33,695.0,16.0,10468.0,23.2,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
157,1000,31.3,RENT,2500.0,732.0,28.0,1358.0,9.8,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
158,1000,31.34,RENT,2083.33,732.0,19.0,3106.0,31.4,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
159,1000,31.34,MORTGAGE,2500.0,732.0,15.0,1928.0,7.4,2.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
160,1000,31.34,MORTGAGE,5666.67,732.0,31.0,4434.0,16.9,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
161,1000,31.57,RENT,800.0,732.0,3.0,1603.0,33.4,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
162,1000,31.62,RENT,6250.0,770.0,4.0,5698.0,52.9,3.0,NEVER,NEVER,0_TO_4_YRS,Delinquent
164,1000,31.62,RENT,5866.58,732.0,12.0,23.0,0.1,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
165,1000,31.62,RENT,3000.0,732.0,24.0,603.0,2.2,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
166,1000,31.62,OWN,4572.5,790.0,31.0,3575.0,2.8,5.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
169,1000,31.76,MORTGAGE,2831.83,770.0,7.0,0.0,0.0,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
170,1000,31.76,RENT,3684.75,732.0,13.0,13854.0,67.6,2.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
171,1000,31.76,RENT,7083.33,732.0,5.0,835.0,24.6,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
172,1000,31.76,RENT,1040.0,732.0,5.0,599.0,24.0,0.0,NEVER,NEVER,PRES_NOT_EMPLOYED,Not Delinquent
173,1000,31.78,OWN,7916.67,770.0,5.0,165.0,1.1,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
176,1000,31.92,RENT,2500.0,695.0,12.0,204.0,20.4,0.0,LAST FIVE,NEVER,5_TO_9_YRS,Not Delinquent
177,1000,31.92,RENT,1200.0,695.0,9.0,11135.0,65.5,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
178,1000,31.95,MORTGAGE,3000.0,732.0,29.0,8990.0,58.0,0.0,NEVER,NEVER,0_TO_4_YRS,Delinquent
179,1000,31.95,MORTGAGE,7083.33,732.0,30.0,5690.0,21.5,0.0,LAST FIVE,NEVER,10_YRS_PLUS,Not Delinquent
180,1000,31.95,MORTGAGE,5583.0,732.0,23.0,22930.0,51.2,2.0,LAST FIVE,NEVER,10_YRS_PLUS,Not Delinquent
181,1000,31.96,RENT,1625.0,695.0,2.0,362.0,25.9,0.0,JUST NOW,JUST NOW,0_TO_4_YRS,Not Delinquent
182,1000,32.01,RENT,5083.33,695.0,9.0,9332.0,97.2,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
183,1000,32.09,RENT,3200.0,695.0,22.0,346.0,6.8,1.0,LAST FIVE,LAST TEN,5_TO_9_YRS,Not Delinquent
184,1000,32.09,RENT,3500.0,695.0,24.0,1514.0,36.0,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
185,1000,32.09,OWN,3800.0,695.0,16.0,3801.0,25.5,1.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
186,1000,32.1,RENT,458.33,770.0,7.0,566.0,8.6,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
187,1000,32.1,MORTGAGE,2083.33,695.0,6.0,5384.0,41.1,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
188,1000,32.1,RENT,416.67,695.0,7.0,961.0,26.0,2.0,JUST NOW,JUST NOW,0_TO_4_YRS,Not Delinquent
189,1000,32.1,OWN,2348.0,695.0,13.0,516.0,39.7,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
190,1000,32.1,RENT,2500.0,732.0,12.0,11738.0,30.3,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
191,1000,32.1,MORTGAGE,5000.0,732.0,21.0,100.0,0.5,0.0,LAST FIVE,LAST TEN,0_TO_4_YRS,Not Delinquent
193,1000,32.22,RENT,3333.33,770.0,14.0,199.0,24.9,0.0,LAST FIVE,NEVER,10_YRS_PLUS,Not Delinquent
194,1000,32.22,RENT,3000.0,732.0,9.0,12061.0,89.5,0.0,NEVER,NEVER,PRES_NOT_EMPLOYED,Not Delinquent
196,1000,32.23,RENT,2548.0,770.0,5.0,426.0,35.5,2.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
197,1000,32.23,OWN,4166.67,732.0,13.0,4876.0,81.3,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
198,1000,32.23,RENT,6166.67,695.0,11.0,7104.0,74.0,1.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
199,1000,32.25,RENT,2916.67,695.0,7.0,1188.0,3.0,2.0,JUST NOW,JUST NOW,0_TO_4_YRS,Delinquent
200,1000,32.27,MORTGAGE,3000.0,732.0,13.0,10948.0,88.3,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
201,1000,32.27,RENT,674.0,695.0,10.0,3637.0,80.8,0.0,NEVER,NEVER,PRES_NOT_EMPLOYED,Not Delinquent
202,1000,32.27,MORTGAGE,7000.0,695.0,18.0,350.0,35.0,0.0,LAST YEAR,NEVER,0_TO_4_YRS,Not Delinquent
203,1000,32.27,RENT,2000.0,695.0,13.0,963.0,7.7,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
204,1000,32.27,MORTGAGE,2928.2,695.0,26.0,24931.0,83.7,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
205,1000,32.27,MORTGAGE,7083.33,695.0,18.0,0.0,0.0,1.0,LAST TEN,NEVER,0_TO_4_YRS,Not Delinquent
206,1000,32.27,MORTGAGE,4333.33,695.0,32.0,2103.0,29.6,0.0,LAST YEAR,NEVER,5_TO_9_YRS,Not Delinquent
207,1000,32.27,RENT,4000.0,695.0,23.0,1127.0,26.8,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
208,1000,32.27,MORTGAGE,6250.0,695.0,32.0,865.0,5.8,0.0,LAST YEAR,LAST TEN,10_YRS_PLUS,Not Delinquent
209,1000,32.27,RENT,1144.0,695.0,18.0,7195.0,61.5,0.0,NEVER,LAST FIVE,PRES_NOT_EMPLOYED,Delinquent
210,1000,32.31,OWN,3166.67,732.0,25.0,2308.0,46.2,0.0,LAST TEN,JUST NOW,5_TO_9_YRS,Not Delinquent
211,1000,32.39,RENT,2333.33,695.0,21.0,3749.0,89.3,3.0,NEVER,NEVER,5_TO_9_YRS,Delinquent
212,1000,32.39,RENT,2100.0,695.0,13.0,1722.0,16.4,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
213,1000,32.39,RENT,875.0,695.0,19.0,5430.0,48.9,0.0,LAST YEAR,NEVER,PRES_NOT_EMPLOYED,Delinquent
214,1050,32.42,RENT,500.0,770.0,5.0,3243.0,17.1,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
215,1450,32.43,RENT,2000.0,732.0,5.0,3904.0,42.4,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
216,1000,32.44,OWN,1600.0,732.0,9.0,2700.0,87.1,0.0,LAST TEN,NEVER,0_TO_4_YRS,Not Delinquent
217,1000,32.44,MORTGAGE,1800.0,732.0,3.0,0.0,0.0,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
218,1400,32.44,RENT,2458.33,695.0,12.0,6502.0,56.5,1.0,NEVER,LAST TEN,0_TO_4_YRS,Not Delinquent
219,1000,32.44,OWN,880.0,732.0,4.0,0.0,0.0,1.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
220,1000,32.44,RENT,8000.0,695.0,18.0,255.0,8.8,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
221,1000,32.44,RENT,2916.67,695.0,21.0,13433.0,77.6,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
